SOURCE_SYSTEM_CODE,SOURCE_FEED_CODE,SOURCE_FIELD_NAME,TARGET_FIELD_NAME,FIELD_ORDINAL,DATA_TYPE_NAME,DATA_TYPE_LENGTH,DATA_TYPE_PRECISION,DATA_TYPE_SCALE,IS_IN_SOURCE,IS_IN_TARGET,IS_DELETED,DERIVED_EXPRESSION
AD,AprGONGMembers,GroupSamAccountName,GROUP_SAM_ACCOUNT_NAME,1,VARCHAR,100,0,0,TRUE,TRUE,FALSE,
AD,AprGONGMembers,MemberSamAccountName,MEMBER_SAM_ACCOUNT_NAME,2,VARCHAR,100,0,0,TRUE,TRUE,FALSE,
AD,AprGONGMembers,MemberName,MEMBER_NAME,3,VARCHAR,100,0,0,TRUE,TRUE,FALSE,
AD,AprGONGMembers,DistinguishedName,DISTINGUISHED_NAME,5,VARCHAR,200,0,0,TRUE,TRUE,FALSE,
AD,AprGONGMembers,ADQueryDateTime,AD_QUERY_DATE_TIME,6,VARCHAR,20,0,0,TRUE,TRUE,FALSE,
AD,AprIDMToolsMembers,GroupSamAccountName,GROUP_SAM_ACCOUNT_NAME,1,VARCHAR,100,0,0,TRUE,TRUE,FALSE,
AD,AprIDMToolsMembers,MemberSamAccountName,MEMBER_SAM_ACCOUNT_NAME,2,VARCHAR,30,0,0,TRUE,TRUE,FALSE,
AD,AprIDMToolsMembers,MemberName,MEMBER_NAME,3,VARCHAR,50,0,0,TRUE,TRUE,FALSE,
AD,AprIDMToolsMembers,DistinguishedName,DISTINGUISHED_NAME,4,VARCHAR,100,0,0,TRUE,TRUE,FALSE,
AD,AprIDMToolsMembers,ADQueryDateTime,AD_QUERY_DATE_TIME,5,VARCHAR,50,0,0,TRUE,TRUE,FALSE,
AD,AprMusbiMembers,GroupSamAccountName,GROUP_SAM_ACCOUNT_NAME,1,VARCHAR,100,0,0,TRUE,TRUE,FALSE,
AD,AprMusbiMembers,MemberSamAccountName,MEMBER_SAM_ACCOUNT_NAME,2,VARCHAR,100,0,0,TRUE,TRUE,FALSE,
AD,AprMusbiMembers,MemberName,MEMBER_NAME,3,VARCHAR,100,0,0,TRUE,TRUE,FALSE,
AD,AprMusbiMembers,DistinguishedName,DISTINGUISHED_NAME,5,VARCHAR,200,0,0,TRUE,TRUE,FALSE,
AD,AprMusbiMembers,ADQueryDateTime,AD_QUERY_DATE_TIME,6,VARCHAR,20,0,0,TRUE,TRUE,FALSE,
AD,AprSAMMembers,GroupSamAccountName,GROUP_SAM_ACCOUNT_NAME,1,VARCHAR,100,0,0,TRUE,TRUE,FALSE,
AD,AprSAMMembers,MemberSamAccountName,MEMBER_SAM_ACCOUNT_NAME,2,VARCHAR,30,0,0,TRUE,TRUE,FALSE,
AD,AprSAMMembers,MemberName,MEMBER_NAME,3,VARCHAR,50,0,0,TRUE,TRUE,FALSE,
AD,AprSAMMembers,DistinguishedName,DISTINGUISHED_NAME,4,VARCHAR,100,0,0,TRUE,TRUE,FALSE,
AD,AprSAMMembers,ADQueryDateTime,AD_QUERY_DATE_TIME,5,VARCHAR,50,0,0,TRUE,TRUE,FALSE,
AD,MusiUsers,DistinguishedName,DISTINGUISHED_NAME,1,VARCHAR,200,0,0,TRUE,TRUE,FALSE,
AD,MusiUsers,objectClass,OBJECT_CLASS,2,VARCHAR,250,0,0,TRUE,FALSE,FALSE,
AD,MusiUsers,CN,CN,3,VARCHAR,250,0,0,TRUE,FALSE,FALSE,
AD,MusiUsers,Title,TITLE,4,VARCHAR,100,0,0,TRUE,TRUE,FALSE,
AD,MusiUsers,description,DESCRIPTION,5,VARCHAR,250,0,0,TRUE,FALSE,FALSE,
AD,MusiUsers,physicalDeliveryOfficeName,PHYSICAL_DELIVERY_OFFICE_NAME,6,VARCHAR,250,0,0,TRUE,FALSE,FALSE,
AD,MusiUsers,Name,NAME,7,VARCHAR,100,0,0,TRUE,TRUE,FALSE,
AD,MusiUsers,Department,DEPARTMENT,8,VARCHAR,100,0,0,TRUE,TRUE,FALSE,
AD,MusiUsers,SamAccountName,SAM_ACCOUNT_NAME,9,VARCHAR,50,0,0,TRUE,TRUE,FALSE,
AD,MusiUsers,userPrincipalName,USER_PRINCIPAL_NAME,10,VARCHAR,250,0,0,TRUE,FALSE,FALSE,
AD,MusiUsers,manager,MANAGER,11,VARCHAR,250,0,0,TRUE,FALSE,FALSE,
AD,MusiUsers,homeDirectory,HOME_DIRECTORY,12,VARCHAR,250,0,0,TRUE,FALSE,FALSE,
AD,MusiUsers,EmailAddress,EMAIL_ADDRESS,13,VARCHAR,100,0,0,TRUE,TRUE,FALSE,
AD,MusiUsersDynamic,COL01,COL01,1,VARCHAR,250,0,0,TRUE,TRUE,FALSE,
AD,MusiUsersDynamic,COL02,COL02,2,VARCHAR,250,0,0,TRUE,TRUE,FALSE,
AD,MusiUsersDynamic,COL03,COL03,3,VARCHAR,250,0,0,TRUE,TRUE,FALSE,
AD,MusiUsersDynamic,COL04,COL04,4,VARCHAR,250,0,0,TRUE,TRUE,FALSE,
AD,MusiUsersDynamic,COL05,COL05,5,VARCHAR,250,0,0,TRUE,TRUE,FALSE,
AD,MusiUsersDynamic,COL06,COL06,6,VARCHAR,250,0,0,TRUE,TRUE,FALSE,
AD,MusiUsersDynamic,COL07,COL07,7,VARCHAR,250,0,0,TRUE,TRUE,FALSE,
AD,MusiUsersDynamic,COL08,COL08,8,VARCHAR,250,0,0,TRUE,TRUE,FALSE,
AD,MusiUsersDynamic,COL09,COL09,9,VARCHAR,250,0,0,TRUE,TRUE,FALSE,
AD,MusiUsersDynamic,COL10,COL10,10,VARCHAR,250,0,0,TRUE,TRUE,FALSE,
AD,MusiUsersDynamic,COL11,COL11,11,VARCHAR,250,0,0,TRUE,TRUE,FALSE,
AD,MusiUsersDynamic,COL12,COL12,12,VARCHAR,250,0,0,TRUE,TRUE,FALSE,
AD,MusiUsersDynamic,COL13,COL13,13,VARCHAR,250,0,0,TRUE,TRUE,FALSE,
AD,MusiUsersDynamic,COL14,COL14,13,VARCHAR,250,0,0,TRUE,TRUE,FALSE,
AD,MusiUsersHK,DistinguishedName,DISTINGUISHED_NAME,1,VARCHAR,200,0,0,TRUE,TRUE,FALSE,
AD,MusiUsersHK,objectClass,OBJECT_CLASS,2,VARCHAR,250,0,0,TRUE,TRUE,FALSE,
AD,MusiUsersHK,CN,CN,3,VARCHAR,250,0,0,TRUE,TRUE,FALSE,
AD,MusiUsersHK,description,DESCRIPTION,4,VARCHAR,250,0,0,TRUE,TRUE,FALSE,
AD,MusiUsersHK,Name,NAME,5,VARCHAR,100,0,0,TRUE,TRUE,FALSE,
AD,MusiUsersHK,Department,DEPARTMENT,6,VARCHAR,100,0,0,TRUE,TRUE,FALSE,
AD,MusiUsersHK,SamAccountName,SAM_ACCOUNT_NAME,7,VARCHAR,50,0,0,TRUE,TRUE,FALSE,
AD,MusiUsersHK,userPrincipalName,USER_PRINCIPAL_NAME,8,VARCHAR,250,0,0,TRUE,TRUE,FALSE,
AD,MusiUsersHK,EmailAddress,EMAIL_ADDRESS,9,VARCHAR,100,0,0,TRUE,TRUE,FALSE,
AD,MusiUsersHK,Title,TITLE,10,VARCHAR,100,0,0,TRUE,TRUE,FALSE,
AD,MusiUsersHK,manager,MANAGER,11,VARCHAR,250,0,0,TRUE,TRUE,FALSE,
AD,MusiUsersHK,physicalDeliveryOfficeName,PHYSICAL_DELIVERY_OFFICE_NAME,12,VARCHAR,250,0,0,TRUE,TRUE,FALSE,
